vendor_file	our_id_to_confirm	nearest_catalogue_names
ball-leg-curl.webp		ball-leg-curl (1.00), leg-curl (0.67), seated-leg-curl (0.67)
bench-press.webp		bench-press (1.00), dumbbell-bench-press (0.67), decline-bench-press (0.67)
bicep-curl.webp		bicep-curl (1.00), trx-bicep-curl (0.67), machine-bicep-curl (0.67)
cable-kickback.webp		cable-kickback (1.00), cable-tricep-kickback (0.67), cable-crossover (0.50)
face-pull.webp		face-pull (1.00), ring-face-pull (0.67), trx-face-pull (0.67)
hammer-curl.webp		hammer-curl (1.00), cable-hammer-curl (0.67), incline-hammer-curl (0.67)
hip-abduction.webp		hip-abduction (1.00), banded-standing-hip-abduction (0.50), hip-adduction (0.50)
hip-thrust.webp		hip-thrust (1.00), banded-hip-thrust (0.67), dumbbell-hip-thrust (0.67)
lateral-raise.webp		lateral-raise (1.00), bodyweight-lateral-raise (0.67), cable-lateral-raise (0.67)
leg-curl.webp		leg-curl (1.00), ball-leg-curl (0.67), seated-leg-curl (0.67)
tricep-pushdown.webp		tricep-pushdown (1.00), single-arm-tricep-pushdown (0.50), v-bar-tricep-pushdown (0.50)
