our_id	our_name	candidate_1	candidate_2	candidate_3	confirmed_source_name
ab-crunch	Ab Crunch	Ab Crunch Machine (0.67)	Ab Roller (0.50)	Cable Crunch (0.50)	
assisted-pull-up	Assisted Pull-up	Band Assisted Pull-Up (0.75)	Scapular Pull-Up (0.67)	Wide-Grip Rear Pull-Up (0.40)	
back-extension	Back Extension	Elbows Back (0.50)	Chain Handle Extension (0.33)	Dynamic Back Stretch (0.33)	
back-squat	Back Squat	Barbell Squat (0.50)	Bodyweight Squat (0.50)	Box Squat (0.50)	
bench-press	Bench Press	Bench Press - Powerlifting (0.67)	Dumbbell Bench Press (0.67)	Machine Bench Press (0.67)	
bent-over-row	Bent-over Row	Bent Over Barbell Row (0.75)	Bent Over Two-Dumbbell Row (0.60)	Smith Machine Bent Over Row (0.60)	
bicep-curl	Bicep Curl	Dumbbell Bicep Curl (0.67)	Machine Bicep Curl (0.67)	Barbell Curl (0.50)	
bulgarian-split-squat	Bulgarian Split Squat	Suspended Split Squat (0.67)	Barbell Side Split Squat (0.50)	Split Squat with Dumbbells (0.50)	
cable-kickback	Cable Kickback	Cable Crossover (0.50)	Cable Crunch (0.50)	Cable Deadlifts (0.50)	
cable-machine	Cable Machine	Cable Crossover (0.50)	Cable Crunch (0.50)	Cable Deadlifts (0.50)	
calf-raise	Calf Raise	Seated Calf Raise (0.67)	Barbell Seated Calf Raise (0.50)	Calf Press (0.50)	
chest-press	Chest Press	Cable Chest Press (0.67)	Leverage Chest Press (0.67)	Bent Press (0.50)	
deadlift	Deadlift	Axle Deadlift (0.50)	Barbell Deadlift (0.50)	Car Deadlift (0.50)	
front-squat	Front Squat	Front Barbell Squat (0.67)	Barbell Squat (0.50)	Bodyweight Squat (0.50)	
glute-bridge	Glute Bridge	Barbell Glute Bridge (0.67)	Glute Kickback (0.50)	Lying Glute (0.50)	
hammer-curl	Hammer Curl	Alternate Hammer Curl (0.67)	Barbell Curl (0.50)	Cross Body Hammer Curl (0.50)	
hip-abduction	Hip Abduction	Band Hip Adductions (0.33)	Barbell Hip Thrust (0.33)	Cable Hip Adduction (0.33)	
hip-thrust	Hip Thrust	Barbell Hip Thrust (0.67)	Band Hip Adductions (0.33)	Cable Hip Adduction (0.33)	
lat-pulldown	Lat Pulldown	One Arm Lat Pulldown (0.50)	Overhead Lat (0.50)	Wide-Grip Lat Pulldown (0.50)	
lateral-raise	Lateral Raise	Side Lateral Raise (0.67)	Cable Seated Lateral Raise (0.50)	Dumbbell Raise (0.50)	
leg-curl	Leg Curl	Ball Leg Curl (0.67)	Seated Leg Curl (0.67)	Standing Leg Curl (0.67)	
leg-extension	Leg Extension	Single-Leg Leg Extension (0.67)	Leg Extensions (0.50)	Leg Lift (0.50)	
nordic-curl	Nordic Curl	Barbell Curl (0.50)	Drag Curl (0.50)	Preacher Curl (0.50)	
overhead-press	Overhead Press	Bent Press (0.50)	Board Press (0.50)	Calf Press (0.50)	
overhead-tricep-extension	Overhead Tricep Extension	Kettlebell Overhead Triceps Extension (0.50)	Lying Dumbbell Tricep Extension (0.50)	Sled Overhead Triceps Extension (0.50)	
pec-deck	Pec Deck	3/4 Sit-Up (0.00)	90/90 Hamstring (0.00)	Ab Crunch Machine (0.00)	
pull-up	Pull-up	Scapular Pull-Up (0.67)	Band Assisted Pull-Up (0.50)	Body-Up (0.50)	
push-up	Push-up	Clock Push-Up (0.67)	Decline Push-Up (0.67)	Incline Push-Up (0.67)	
rear-delt-fly	Rear Delt Fly	Cable Rear Delt Fly (0.75)	Barbell Rear Delt Row (0.50)	Lying Rear Delt Raise (0.50)	
seated-row	Seated Row	Inverted Row (0.50)	Seated Biceps (0.50)	Seated Glute (0.50)	
shoulder-press	Shoulder Press	Barbell Shoulder Press (0.67)	Cable Shoulder Press (0.67)	Dumbbell Shoulder Press (0.67)	
smith-machine	Smith Machine	Smith Machine Squat (0.67)	Dip Machine (0.50)	Smith Machine Bench Press (0.50)	
standing-calf-raise	Standing Calf Raise	Rocking Standing Calf Raise (0.75)	Standing Barbell Calf Raise (0.75)	Standing Dumbbell Calf Raise (0.75)	
tricep-pushdown	Tricep Pushdown	Triceps Pushdown (0.50)	Body Tricep Press (0.33)	Cable Incline Pushdown (0.33)	
walking-lunge	Walking Lunge	Barbell Walking Lunge (0.67)	Bodyweight Walking Lunge (0.67)	Barbell Lunge (0.50)	
